State,Region,Year,Acre_Value
Northeast,Northeast,1997,2590
Delaware,Northeast,1997,2500
Maryland,Northeast,1997,3050
New Jersey,Northeast,1997,8500
New York,Northeast,1997,1020
Pennsylvania,Northeast,1997,2650
Other States,Northeast,1997,4260
Lake,Lake States,1997,1130
Michigan,Lake States,1997,1360
Minnesota,Lake States,1997,1090
Wisconsin,Lake States,1997,1040
Corn Belt,Corn Belt,1997,1760
Illinois,Corn Belt,1997,2070
Indiana,Corn Belt,1997,1900
Iowa,Corn Belt,1997,1700
Missouri,Corn Belt,1997,1040
Ohio,Corn Belt,1997,1990
Northern Plains,Northern Plains,1997,633
Kansas,Northern Plains,1997,649
Nebraska,Northern Plains,1997,1020
North Dakota,Northern Plains,1997,427
South Dakota,Northern Plains,1997,456
Appalachian,Appalachian,1997,1730
Kentucky,Appalachian,1997,1500
North Carolina,Appalachian,1997,1880
Tennessee,Appalachian,1997,1830
Virginia,Appalachian,1997,1820
West Virginia,Appalachian,1997,1540
Southeast,Southeast,1997,1610
Alabama,Southeast,1997,1200
Florida,Southeast,1997,3280
Georgia,Southeast,1997,1060
South Carolina,Southeast,1997,1090
Delta,Delta States,1997,956
Arkansas,Delta States,1997,968
Louisiana,Delta States,1997,1080
Mississippi,Delta States,1997,821
Southern Plains,Southern Plains,1997,641
Oklahoma,Southern Plains,1997,553
Texas,Southern Plains,1997,674
Mountain,Mountain,1997,904
Arizona,Mountain,1997,3700
Colorado,Mountain,1997,772
Idaho,Mountain,1997,1320
Montana,Mountain,1997,458
New Mexico,Mountain,1997,1330
Utah,Mountain,1997,2300
Wyoming,Mountain,1997,744
Pacific,Pacific,1997,3030
California,Pacific,1997,5080
Oregon,Pacific,1997,1430
Washington,Pacific,1997,1340
United States,USA,1997,1270
Northeast,Northeast,1998,2620
Delaware,Northeast,1998,2620
Maryland,Northeast,1998,3100
New Jersey,Northeast,1998,8000
New York,Northeast,1998,1040
Pennsylvania,Northeast,1998,2740
Other States,Northeast,1998,4290
Lake,Lake States,1998,1220
Michigan,Lake States,1998,1480
Minnesota,Lake States,1998,1160
Wisconsin,Lake States,1998,1130
Corn Belt,Corn Belt,1998,1910
Illinois,Corn Belt,1998,2240
Indiana,Corn Belt,1998,2100
Iowa,Corn Belt,1998,1860
Missouri,Corn Belt,1998,1130
Ohio,Corn Belt,1998,2150
Northern Plains,Northern Plains,1998,648
Kansas,Northern Plains,1998,655
Nebraska,Northern Plains,1998,1040
North Dakota,Northern Plains,1998,440
South Dakota,Northern Plains,1998,480
Appalachian,Appalachian,1998,1830
Kentucky,Appalachian,1998,1620
North Carolina,Appalachian,1998,1950
Tennessee,Appalachian,1998,1970
Virginia,Appalachian,1998,1880
West Virginia,Appalachian,1998,1600
Southeast,Southeast,1998,1670
Alabama,Southeast,1998,1260
Florida,Southeast,1998,3230
Georgia,Southeast,1998,1140
South Carolina,Southeast,1998,1160
Delta,Delta States,1998,996
Arkansas,Delta States,1998,1030
Louisiana,Delta States,1998,1060
Mississippi,Delta States,1998,878
Southern Plains,Southern Plains,1998,667
Oklahoma,Southern Plains,1998,577
Texas,Southern Plains,1998,701
Mountain,Mountain,1998,936
Arizona,Mountain,1998,3800
Colorado,Mountain,1998,809
Idaho,Mountain,1998,1370
Montana,Mountain,1998,463
New Mexico,Mountain,1998,1380
Utah,Mountain,1998,2390
Wyoming,Mountain,1998,777
Pacific,Pacific,1998,3150
California,Pacific,1998,5260
Oregon,Pacific,1998,1430
Washington,Pacific,1998,1430
United States,USA,1998,1340
Northeast,Northeast,1999,2700
Delaware,Northeast,1999,2700
Maryland,Northeast,1999,3200
New Jersey,Northeast,1999,7800
New York,Northeast,1999,1100
Pennsylvania,Northeast,1999,2870
Other States,Northeast,1999,4360
Lake,Lake States,1999,1340
Michigan,Lake States,1999,1670
Minnesota,Lake States,1999,1230
Wisconsin,Lake States,1999,1300
Corn Belt,Corn Belt,1999,2030
Illinois,Corn Belt,1999,2370
Indiana,Corn Belt,1999,2270
Iowa,Corn Belt,1999,1930
Missouri,Corn Belt,1999,1190
Ohio,Corn Belt,1999,2350
Northern Plains,Northern Plains,1999,658
Kansas,Northern Plains,1999,659
Nebraska,Northern Plains,1999,1080
North Dakota,Northern Plains,1999,435
South Dakota,Northern Plains,1999,491
Appalachian,Appalachian,1999,1930
Kentucky,Appalachian,1999,1630
North Carolina,Appalachian,1999,2130
Tennessee,Appalachian,1999,2100
Virginia,Appalachian,1999,1980
West Virginia,Appalachian,1999,1570
Southeast,Southeast,1999,1720
Alabama,Southeast,1999,1320
Florida,Southeast,1999,3190
Georgia,Southeast,1999,1250
South Carolina,Southeast,1999,1200
Delta,Delta States,1999,1030
Arkansas,Delta States,1999,1080
Louisiana,Delta States,1999,1060
Mississippi,Delta States,1999,925
Southern Plains,Southern Plains,1999,681
Oklahoma,Southern Plains,1999,558
Texas,Southern Plains,1999,728
Mountain,Mountain,1999,968
Arizona,Mountain,1999,4100
Colorado,Mountain,1999,833
Idaho,Mountain,1999,1420
Montana,Mountain,1999,461
New Mexico,Mountain,1999,1420
Utah,Mountain,1999,2610
Wyoming,Mountain,1999,781
Pacific,Pacific,1999,3350
California,Pacific,1999,5700
Oregon,Pacific,1999,1520
Washington,Pacific,1999,1410
United States,USA,1999,1410
Northeast,Northeast,2000,2690
Delaware,Northeast,2000,3000
Maryland,Northeast,2000,3500
New Jersey,Northeast,2000,8400
New York,Northeast,2000,1180
Pennsylvania,Northeast,2000,3000
Other States,Northeast,2000,3240
Lake,Lake States,2000,1450
Michigan,Lake States,2000,1820
Minnesota,Lake States,2000,1280
Wisconsin,Lake States,2000,1600
Corn Belt,Corn Belt,2000,2040
Illinois,Corn Belt,2000,2350
Indiana,Corn Belt,2000,2250
Iowa,Corn Belt,2000,1940
Missouri,Corn Belt,2000,1300
Ohio,Corn Belt,2000,2400
Northern Plains,Northern Plains,2000,680
Kansas,Northern Plains,2000,666
Nebraska,Northern Plains,2000,1130
North Dakota,Northern Plains,2000,440
South Dakota,Northern Plains,2000,545
Appalachian,Appalachian,2000,2070
Kentucky,Appalachian,2000,1800
North Carolina,Appalachian,2000,2350
Tennessee,Appalachian,2000,2120
Virginia,Appalachian,2000,2150
West Virginia,Appalachian,2000,1700
Southeast,Southeast,2000,1960
Alabama,Southeast,2000,1450
Florida,Southeast,2000,3550
Georgia,Southeast,2000,1600
South Carolina,Southeast,2000,1350
Delta,Delta States,2000,1070
Arkansas,Delta States,2000,1100
Louisiana,Delta States,2000,1130
Mississippi,Delta States,2000,985
Southern Plains,Southern Plains,2000,721
Oklahoma,Southern Plains,2000,600
Texas,Southern Plains,2000,769
Mountain,Mountain,2000,990
Arizona,Mountain,2000,4400
Colorado,Mountain,2000,922
Idaho,Mountain,2000,1470
Montana,Mountain,2000,481
