Year,CornPrice,Crop
1960,1.02,Corn
1961,1.01,Corn
1962,1.02,Corn
1963,1.12,Corn
1964,1.13,Corn
1965,1.18,Corn
1966,1.25,Corn
1967,1.17,Corn
1968,1.04,Corn
1969,1.13,Corn
1970,1.23,Corn
1971,1.27,Corn
1972,1.17,Corn
1973,1.89,Corn
1974,2.92,Corn
1975,2.7,Corn
1976,2.49,Corn
1977,2.03,Corn
1978,2.1,Corn
1979,2.36,Corn
1980,2.7,Corn
1981,2.92,Corn
1982,2.37,Corn
1983,2.99,Corn
1984,3.05,Corn
1985,2.49,Corn
1986,1.96,Corn
1987,1.56,Corn
1988,2.27,Corn
1989,2.43,Corn
1990,2.4,Corn
1991,2.33,Corn
1992,2.31,Corn
1993,2.22,Corn
1994,2.41,Corn
1995,2.56,Corn
1996,3.55,Corn
1997,2.6,Corn
1998,2.2,Corn
1999,1.89,Corn
2000,1.86,Corn
2001,1.89,Corn
2002,2.13,Corn
2003,2.27,Corn
2004,2.47,Corn
2005,1.96,Corn
2006,2.28,Corn
2007,3.39,Corn
2008,4.78,Corn
2009,3.75,Corn
2010,3.83,Corn
2011,6.01,Corn
2012,6.67,Corn
2013,6.15,Corn
2014,4.11,Corn
2015,3.71,Corn
2016,3.48,Corn
2017,3.36,Corn
