State,LandCategory,Region,Region or State,Year,Acre_Value,CornPrice
Northeast,Cropland,Northeast,Region,1997,2590,2.75
Lake,Cropland,Lake States,Region,1997,1130,2.75
Corn Belt,Cropland,Corn Belt,Region,1997,1760,2.75
Northern Plains,Cropland,Northern Plains,Region,1997,633,2.75
Appalachian,Cropland,Appalachian,Region,1997,1730,2.75
Southeast,Cropland,Southeast,Region,1997,1610,2.75
Delta,Cropland,Delta States,Region,1997,956,2.75
Southern Plains,Cropland,Southern Plains,Region,1997,641,2.75
Mountain,Cropland,Mountain,Region,1997,904,2.75
Pacific,Cropland,Pacific,Region,1997,3030,2.75
United States,Cropland,Continental U.S.,Region,1997,1270,2.75
Northeast,Cropland,Northeast,Region,1998,2620,2.38
Lake,Cropland,Lake States,Region,1998,1220,2.38
Corn Belt,Cropland,Corn Belt,Region,1998,1910,2.38
Northern Plains,Cropland,Northern Plains,Region,1998,648,2.38
Appalachian,Cropland,Appalachian,Region,1998,1830,2.38
Southeast,Cropland,Southeast,Region,1998,1670,2.38
Delta,Cropland,Delta States,Region,1998,996,2.38
Southern Plains,Cropland,Southern Plains,Region,1998,667,2.38
Mountain,Cropland,Mountain,Region,1998,936,2.38
Pacific,Cropland,Pacific,Region,1998,3150,2.38
United States,Cropland,Continental U.S.,Region,1998,1340,2.38
Northeast,Cropland,Northeast,Region,1999,2700,2.12
Lake,Cropland,Lake States,Region,1999,1340,2.12
Corn Belt,Cropland,Corn Belt,Region,1999,2030,2.12
Northern Plains,Cropland,Northern Plains,Region,1999,658,2.12
Appalachian,Cropland,Appalachian,Region,1999,1930,2.12
Southeast,Cropland,Southeast,Region,1999,1720,2.12
Delta,Cropland,Delta States,Region,1999,1030,2.12
Southern Plains,Cropland,Southern Plains,Region,1999,681,2.12
Mountain,Cropland,Mountain,Region,1999,968,2.12
Pacific,Cropland,Pacific,Region,1999,3350,2.12
United States,Cropland,Continental U.S.,Region,1999,1410,2.12
Northeast,Cropland,Northeast,Region,2000,2690,2.12
Lake,Cropland,Lake States,Region,2000,1450,2.12
Corn Belt,Cropland,Corn Belt,Region,2000,2040,2.12
Northern Plains,Cropland,Northern Plains,Region,2000,680,2.12
Appalachian,Cropland,Appalachian,Region,2000,2070,2.12
Southeast,Cropland,Southeast,Region,2000,1960,2.12
Delta,Cropland,Delta States,Region,2000,1070,2.12
Southern Plains,Cropland,Southern Plains,Region,2000,721,2.12
Mountain,Cropland,Mountain,Region,2000,990,2.12
Pacific,Cropland,Pacific,Region,2000,3250,2.12
United States,Cropland,Continental U.S.,Region,2000,1460,2.12
Northeast,Cropland,Northeast,Region,2001,2820,2.11
Lake,Cropland,Lake States,Region,2001,1560,2.11
Corn Belt,Cropland,Corn Belt,Region,2001,2100,2.11
Northern Plains,Cropland,Northern Plains,Region,2001,700,2.11
Appalachian,Cropland,Appalachian,Region,2001,2210,2.11
Southeast,Cropland,Southeast,Region,2001,2090,2.11
Delta,Cropland,Delta States,Region,2001,1120,2.11
Southern Plains,Cropland,Southern Plains,Region,2001,753,2.11
Mountain,Cropland,Mountain,Region,2001,1030,2.11
Pacific,Cropland,Pacific,Region,2001,3310,2.11
United States,Cropland,Continental U.S.,Region,2001,1510,2.11
Northeast,Cropland,Northeast,Region,2002,3210,2.29
Lake,Cropland,Lake States,Region,2002,1720,2.29
Corn Belt,Cropland,Corn Belt,Region,2002,2180,2.29
Northern Plains,Cropland,Northern Plains,Region,2002,720,2.29
Appalachian,Cropland,Appalachian,Region,2002,2340,2.29
Southeast,Cropland,Southeast,Region,2002,2240,2.29
Delta,Cropland,Delta States,Region,2002,1160,2.29
Southern Plains,Cropland,Southern Plains,Region,2002,808,2.29
Mountain,Cropland,Mountain,Region,2002,1120,2.29
Pacific,Cropland,Pacific,Region,2002,3410,2.29
United States,Cropland,Continental U.S.,Region,2002,1590,2.29
Northeast,Cropland,Northeast,Region,2003,3400,2.34
Lake,Cropland,Lake States,Region,2003,1860,2.34
Corn Belt,Cropland,Corn Belt,Region,2003,2270,2.34
Northern Plains,Cropland,Northern Plains,Region,2003,737,2.34
Appalachian,Cropland,Appalachian,Region,2003,2490,2.34
Southeast,Cropland,Southeast,Region,2003,2350,2.34
Delta,Cropland,Delta States,Region,2003,1210,2.34
Southern Plains,Cropland,Southern Plains,Region,2003,863,2.34
Mountain,Cropland,Mountain,Region,2003,1170,2.34
Pacific,Cropland,Pacific,Region,2003,3500,2.34
United States,Cropland,Continental U.S.,Region,2003,1660,2.34
Northeast,Cropland,Northeast,Region,2004,3800,2.54
Lake,Cropland,Lake States,Region,2004,2030,2.54
Corn Belt,Cropland,Corn Belt,Region,2004,2450,2.54
Northern Plains,Cropland,Northern Plains,Region,2004,783,2.54
Appalachian,Cropland,Appalachian,Region,2004,2670,2.54
Southeast,Cropland,Southeast,Region,2004,2460,2.54
Delta,Cropland,Delta States,Region,2004,1270,2.54
Southern Plains,Cropland,Southern Plains,Region,2004,902,2.54
Mountain,Cropland,Mountain,Region,2004,1200,2.54
Pacific,Cropland,Pacific,Region,2004,3570,2.54
United States,Cropland,Continental U.S.,Region,2004,1770,2.54
Northeast,Cropland,Northeast,Region,2005,4320,2.11
Lake,Cropland,Lake States,Region,2005,2230,2.11
Corn Belt,Cropland,Corn Belt,Region,2005,2790,2.11
Northern Plains,Cropland,Northern Plains,Region,2005,890,2.11
Appalachian,Cropland,Appalachian,Region,2005,2940,2.11
Southeast,Cropland,Southeast,Region,2005,3330,2.11
Delta,Cropland,Delta States,Region,2005,1420,2.11
Southern Plains,Cropland,Southern Plains,Region,2005,979,2.11
Mountain,Cropland,Mountain,Region,2005,1230,2.11
Pacific,Cropland,Pacific,Region,2005,4380,2.11
United States,Cropland,Continental U.S.,Region,2005,2060,2.11
Northeast,Cropland,Northeast,Region,2006,4970,2.61
Lake,Cropland,Lake States,Region,2006,2480,2.61
Corn Belt,Cropland,Corn Belt,Region,2006,3090,2.61
Northern Plains,Cropland,Northern Plains,Region,2006,985,2.61
Appalachian,Cropland,Appalachian,Region,2006,3290,2.61
Southeast,Cropland,Southeast,Region,2006,3790,2.61
Delta,Cropland,Delta States,Region,2006,1540,2.61
Southern Plains,Cropland,Southern Plains,Region,2006,1110,2.61
Mountain,Cropland,Mountain,Region,2006,1520,2.61
Pacific,Cropland,Pacific,Region,2006,4690,2.61
United States,Cropland,Continental U.S.,Region,2006,2300,2.61
Northeast,Cropland,Northeast,Region,2007,5350,3.75
Lake,Cropland,Lake States,Region,2007,2830,3.75
Corn Belt,Cropland,Corn Belt,Region,2007,3530,3.75
Northern Plains,Cropland,Northern Plains,Region,2007,1090,3.75
Appalachian,Cropland,Appalachian,Region,2007,3570,3.75
Southeast,Cropland,Southeast,Region,2007,4180,3.75
Delta,Cropland,Delta States,Region,2007,1690,3.75
Southern Plains,Cropland,Southern Plains,Region,2007,1250,3.75
Mountain,Cropland,Mountain,Region,2007,1640,3.75
Pacific,Cropland,Pacific,Region,2007,5420,3.75
United States,Cropland,Continental U.S.,Region,2007,2530,3.75
Northeast,Cropland,Northeast,Region,2008,5590,5.32
Lake,Cropland,Lake States,Region,2008,3080,5.32
Corn Belt,Cropland,Corn Belt,Region,2008,4030,5.32
